foodName,display_name,food_category,portion_unit_name,portion_gram_weight,source_count,Energy,Energy,Energy,Energy,Carbohydrate,"Sugars, Total",Fiber,Total Sugars,Fiber (AOAC 2011.25),Total fat,Cholesterol,"Fatty acids, total saturated",DHA,EPA,ALA,Protein,"Vitamin A, RAE",Vitamin E,Vitamin D (D2 + D3),Vitamin E,Vitamin C,Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B-6,"Folate, total",Vitamin B-12,Choline,Vitamin K2 MK-4,Vitamin K1,Vitamin E,Vitamin A,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Iodine,Manganese,Molybdenum,Selenium
apple_pie_spice,Apple Pie Spice,Spices & Herbs,,,1,429.0,429.0,429.0,429.0,142.86,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
applewood_chip,Applewood Chip,Other,,,1,500.0,500.0,500.0,500.0,71.43,,7.1,39.29,,25.0,0.0,3.57,,,,0.0,,,,,32.1,,,,,,,,,,,,,,,,,286.0,54.0,,,,,,
apricot,Apricot,Other,,,4,48.03011472275334,48.03011472275334,48.03011472275334,48.03011472275334,11.12,,2.0,9.24,,0.39,0.0,0.027,0.0,0.0,,1.4,96.0,0.89,0.0,0.89,10.0,0.03,0.04,0.6,0.24,0.054,9.0,0.0,2.8,,3.3,0.89,,13.0,0.39,10.0,23.0,259.0,1.0,0.2,0.078,,0.077,,0.1
apricot_brandy,Apricot Brandy,Other,,,1,231.0,231.0,231.0,231.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.004,0.013,,0.001,0.0,0.0,0.0,,0.0,0.0,,0.0,0.04,0.0,4.0,2.0,1.0,0.04,0.021,,,,0.0
aquafaba,Aquafaba,Other,,,1,189.0,189.0,189.0,189.0,18.35,,1.5,2.44,,8.92,51.0,1.931,0.028,0.027,,8.33,42.0,1.85,0.0,1.85,23.9,0.18,0.122,2.255,,0.15,44.0,0.38,36.9,,9.7,1.85,,72.0,1.32,19.0,171.0,145.0,456.0,0.61,0.121,,,,18.9
aquavit,Aquavit,Other,,,1,0.0,0.0,0.0,0.0,50.0,,,,,0.0,0.0,0.0,,,,0.0,,,,,1500.0,,,100.0,,10.0,,30.0,,,,,,,,,,,0.0,,,,,,
arame,Arame,Other,,,1,121.0,121.0,121.0,121.0,8.91,,5.2,2.18,,5.2,0.0,0.62,0.0,0.003,0.358,11.91,15.0,0.68,0.0,0.68,6.1,0.2,0.155,0.915,0.395,0.1,311.0,0.0,56.3,0.0,26.7,0.68,,63.0,2.27,64.0,169.0,436.0,6.0,1.37,0.345,,1.024,,0.8
arctic_char,Arctic Char,Other,,,1,19.59847036328872,19.59847036328872,19.59847036328872,19.59847036328872,0.0,,,,,0.5,7.0,0.1,,,,3.8,,,,,0.0,0.0,0.2,0.0,,,,,,,,,,47.0,3.3,,,102.0,656.0,,,,,,
arepa,Arepa,Other,,,1,267.0,267.0,267.0,267.0,30.47,,2.4,3.25,,14.0,53.0,9.083,0.0,0.0,,5.66,62.0,0.54,0.8,0.54,0.8,0.176,0.205,1.755,,0.087,60.0,0.19,42.5,,3.3,0.54,,82.0,2.31,28.0,132.0,202.0,399.0,0.74,0.124,,,,10.1
argan_oil,Argan Oil,Oils & Fats,,,5,880.4015296367113,880.4015296367113,880.4015296367113,880.4015296367113,0.0,,0.0,,,98.666,104.2,17.9194,8.562,13.168,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
